X,Y,Fractal Dimension
0,0,0.568908075355249
0,1,1.1257856233676293
0,2,0.4908838351924437
0,3,-0.0818404135968302
0,4,1.458902426818834
0,5,0.823617028667845
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0.21001478257246325
0,18,0.7719521573157937
0,19,0.04368840480131732
1,0,0.5433066644565392
1,1,0.06781384301389726
1,2,0.196359415907716
1,3,0.9503487356316437
1,4,0.24819157738797518
1,5,0.16210672551838573
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0.12963264006796887
1,13,-0.3229448155707509
1,14,0
1,15,0
1,16,0
1,17,0.3763184342300885
1,18,-0.07977830496192753
1,19,0.2642069178674023
2,0,0.3981698745620368
2,1,0.1413522972789712
2,2,-0.2240652445839836
2,3,0.19366117197423752
2,4,0.59091074422443
2,5,0.4600411178599626
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,-0.24637274479016966
2,16,-0.222883019549775
2,17,0.43030749399381013
2,18,0.01602878681183461
2,19,0
3,0,0.408987545471418
3,1,0.24199900042203243
3,2,0
3,3,0
3,4,0
3,5,0.6586421715075982
3,6,0.6712360670824971
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0.019566878341010105
3,15,0.3356297545478042
3,16,0.5353544767141042
3,17,-0.7642503198224445
3,18,0.15123341290849768
3,19,0.1721144919419719
4,0,0
4,1,0.276105980639272
4,2,0.19295847491343854
4,3,0
4,4,-0.17473324497344778
4,5,0.5611070892458441
4,6,0.7052537895142874
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0.030791080140691478
4,15,0.7244586684788823
4,16,-0.3176348955115268
4,17,0
4,18,0
4,19,-0.032149699651792416
5,0,-0.17665056415859717
5,1,0.1413009484443461
5,2,0
5,3,0
5,4,0
5,5,0.43005381461903047
5,6,0.44536176805059113
5,7,0.4074227193869557
5,8,0
5,9,0
5,10,0
5,11,0.2267982659924787
5,12,0
5,13,0.5631676493280078
5,14,0.8591029656121741
5,15,0.46712535350193307
5,16,0.6401013111658981
5,17,-0.8787882837389366
5,18,0
5,19,0
6,0,0.08750674567028235
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0.33580648265492585
6,6,0.5998348010906625
6,7,1.2388106949567943
6,8,-0.1272480971053536
6,9,0
6,10,0
6,11,-1.0836277918361499
6,12,0.8733129755155024
6,13,1.2159335240603486
6,14,0.3381134490448758
6,15,0.5896567955044967
6,16,0.2972197867857977
6,17,0
6,18,0
6,19,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0.7261742899448184
7,7,1.500741331925181
7,8,0.42156485002661576
7,9,0
7,10,0.5838579022721203
7,11,1.027476342348607
7,12,0.9193637550591787
7,13,0
7,14,0.4196058384888102
7,15,0.3385200919446845
7,16,-0.6649935283629019
7,17,0
7,18,0
7,19,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0.6664548712061039
8,7,1.276619905225323
8,8,1.4624421639480645
8,9,0.7534594757625476
8,10,1.6173067957263032
8,11,1.2008859452820198
8,12,0.34518507205161403
8,13,0.6731177120642571
8,14,0.5011276778687932
8,15,0
8,16,0.19251242593102944
8,17,-0.4974196056140078
8,18,0
8,19,0
9,0,0
9,1,0
9,2,0.6794896931069981
9,3,0.011416203292337918
9,4,0
9,5,0
9,6,0
9,7,0.9919137264092062
9,8,1.856168594465472
9,9,1.825195534599978
9,10,1.8087694629640712
9,11,0.9856543091778547
9,12,0.5183321361562359
9,13,0.1624645916679271
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
10,0,0
10,1,-0.29602658261562464
10,2,0.05837288509098164
10,3,0
10,4,0
10,5,0
10,6,0
10,7,1.0484304846438148
10,8,1.762140832030349
10,9,1.8871377261010547
10,10,1.3938597931280512
10,11,-0.03951863417775032
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
11,0,0
11,1,0.04120302891428112
11,2,-0.1693501884704257
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0.8569423999143834
11,8,1.8859271177769414
11,9,1.8116848753388557
11,10,0.4196276268055266
11,11,0.3724291231143259
11,12,-0.4564705016671249
11,13,0.5911336611675452
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
12,0,0
12,1,0.3427736727799776
12,2,-0.8566285570947979
12,3,0.45277415907011165
12,4,-0.05457748654649475
12,5,0
12,6,0.29326540636996035
12,7,1.1676140862183073
12,8,0.9118582610575071
12,9,0.5413100632312146
12,10,0.5330568218813356
12,11,0.21187355758054152
12,12,0.5298030912291506
12,13,0.3913005857921143
12,14,0.05465620859488
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
13,0,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0.6321550171312103
13,7,0.853389895152669
13,8,0.22260670398714066
13,9,0.39470854685903417
13,10,-0.10581012970063587
13,11,0.07536815795388313
13,12,0.29537711714158954
13,13,0
13,14,0.2521928721281549
13,15,0
13,16,-0.032700481190653906
13,17,0
13,18,0
13,19,0
14,0,0
14,1,0
14,2,0.09590867532581275
14,3,0
14,4,0
14,5,0
14,6,-0.6660190876993144
14,7,0.7943671300709225
14,8,0.34466208820486105
14,9,0.8736499265200395
14,10,0.36425938591651985
14,11,0
14,12,0
14,13,0
14,14,0.06525460899516301
14,15,0.021879222172322285
14,16,0.2065381693497286
14,17,0
14,18,0
14,19,0
15,0,0
15,1,0
15,2,0.7310741961411812
15,3,0
15,4,0
15,5,0.4324061188716054
15,6,0.33157827125237477
15,7,0
15,8,0.43948706166463253
15,9,0.3186507766349699
15,10,0.7171866932219211
15,11,0
15,12,0
15,13,0
15,14,0.1483995131086626
15,15,0.17031640401502185
15,16,0
15,17,0
15,18,0
15,19,0.28675265774300196
16,0,0
16,1,-0.011179205499646608
16,2,0.14447668649685652
16,3,0
16,4,0
16,5,0
16,6,0.7917903820023725
16,7,0.23627839349145524
16,8,0.22185892752187433
16,9,0
16,10,0.15324287495850838
16,11,0
16,12,0.17547714839383646
16,13,-0.43278452682672036
