X,Y,Fractal Dimension
0,0,0.7151467149708883
0,1,1.201720311237195
0,2,0.32665796953071474
0,3,0.5611604544088828
0,4,1.5365382392222309
0,5,1.140598422611603
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0.21001478257246325
0,18,0.8131503882602005
0,19,0.41217253344638916
1,0,0.5912715402934446
1,1,0.38758528049685853
1,2,0.18887154122650027
1,3,0.9121621959436992
1,4,0.3880496094151566
1,5,0.3583502075650523
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0.13373356925288093
1,13,-0.24660273246526798
1,14,0
1,15,0
1,16,0
1,17,0.3763184342300885
1,18,-0.041890389290875095
1,19,0.2642069178674023
2,0,0.47708475534429556
2,1,0.3945255035391608
2,2,0.16376147548396375
2,3,0.21729442988674924
2,4,0.5837135373939654
2,5,0.4477691436770481
2,6,-0.15655049314889274
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,-0.24637274479016966
2,16,-0.011193941209055045
2,17,0.4690723770050065
2,18,0.2087890965432175
2,19,0
3,0,0.6601327787133454
3,1,0.19137378019307702
3,2,0
3,3,0
3,4,0
3,5,0.7703374502539134
3,6,0.7802810851847004
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,-0.08708364920674276
3,15,0.322110182787083
3,16,0.6851516520207765
3,17,-0.2299554159244696
3,18,0.181817874823241
3,19,0.1721144919419719
4,0,0
4,1,0.276105980639272
4,2,0.39942728215631956
4,3,0
4,4,-0.17473324497344778
4,5,0.6482286249035623
4,6,0.7105088694178606
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0.16846407205904126
4,14,0.26252120006784924
4,15,0.8118920175405544
4,16,-0.6012367783941496
4,17,0.3897022382563504
4,18,0
4,19,0.07375012692869516
5,0,-0.17665056415859717
5,1,0.1413009484443461
5,2,0
5,3,0
5,4,0
5,5,0.4900317243667132
5,6,0.5003622916326188
5,7,0.42811960509962327
5,8,0
5,9,0
5,10,0
5,11,0.3884713215737028
5,12,0
5,13,0.5598265630663416
5,14,1.0569677125231594
5,15,0.8439643467054849
5,16,1.0548030697592354
5,17,0.35865186246115016
5,18,0.3267927803835441
5,19,0
6,0,0.08750674567028235
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0.33580648265492585
6,6,0.6002478116218278
6,7,1.317761407789535
6,8,0.5968750514129795
6,9,0
6,10,-0.2925112156949511
6,11,-0.04873891987517831
6,12,0.8638192660572459
6,13,1.4201202269861155
6,14,0.3462478995863227
6,15,0.5895804528220806
6,16,0.11696630080561068
6,17,0.18926910997922772
6,18,0
6,19,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0.7413267497362299
7,7,1.5888543121712368
7,8,0.5350907830489416
7,9,0
7,10,0.6293491167784793
7,11,1.0806091395206665
7,12,1.4963799946507605
7,13,0
7,14,0.518373745691773
7,15,0.5511387986919617
7,16,-0.6649935283629019
7,17,0
7,18,0
7,19,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0.6826910466898839
8,7,1.7728985499211443
8,8,1.4877625642095929
8,9,0.7730254717393933
8,10,1.6283436656347083
8,11,1.210030627539082
8,12,0.5380011783239275
8,13,0.7865321295263505
8,14,0.5050236959592455
8,15,0.12727462382768623
8,16,0.19251242593102944
8,17,-0.4974196056140078
8,18,0
8,19,0
9,0,0
9,1,0
9,2,0.837113983906519
9,3,0.1885424035929653
9,4,0
9,5,-0.29804489932671185
9,6,0.33699520553026435
9,7,0.9919137264092062
9,8,1.856168594465472
9,9,1.825195534599978
9,10,1.8109231298416564
9,11,0.9711556056258097
9,12,0.5183321361562359
9,13,0.12107736025739854
9,14,0.4608843576396722
9,15,-0.6986100932575294
9,16,0
9,17,0
9,18,0
9,19,0
10,0,0
10,1,-0.29602658261562464
10,2,0.004111851698242461
10,3,0
10,4,0
10,5,0.21636864003248055
10,6,0.16284231435086113
10,7,1.0652490079163381
10,8,1.8027584798030116
10,9,1.8871377261010547
10,10,1.413211201205062
10,11,0.37960499985203916
10,12,-0.37111318815059724
10,13,0.4477456565491863
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
11,0,0
11,1,0.04120302891428112
11,2,-0.1693501884704257
11,3,-1.0249042752668287
11,4,0
11,5,0
11,6,0
